#options: 512x512 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:22.32 aq:7.71 tex:85880 mv:12246 misc:122 imb:1024 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:22.64 aq:15.86 tex:437 mv:87 misc:340 imb:0 pmb:27 smb:997 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:22.64 aq:17.88 tex:143 mv:15 misc:226 imb:0 pmb:12 smb:1012 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:22.64 aq:15.72 tex:28 mv:2 misc:146 imb:0 pmb:1 smb:1023 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:22.64 aq:8.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:1024 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:21.98 aq:11.64 tex:45788 mv:4460 misc:328 imb:172 pmb:309 smb:543 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:22.31 aq:18.69 tex:1284 mv:188 misc:432 imb:0 pmb:73 smb:951 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:22.47 aq:15.40 tex:74 mv:88 misc:278 imb:0 pmb:34 smb:990 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:22.14 aq:15.43 tex:89 mv:100 misc:243 imb:0 pmb:21 smb:1003 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:21.52 aq:10.89 tex:52424 mv:4501 misc:347 imb:111 pmb:295 smb:618 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:21.75 aq:20.72 tex:1765 mv:180 misc:463 imb:0 pmb:81 smb:943 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:21.86 aq:17.21 tex:131 mv:111 misc:318 imb:0 pmb:40 smb:984 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:21.63 aq:17.53 tex:151 mv:54 misc:259 imb:0 pmb:16 smb:1008 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:18.16 aq:5.69 tex:80239 mv:5141 misc:244 imb:388 pmb:308 smb:328 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:19.84 aq:16.09 tex:1055 mv:216 misc:465 imb:1 pmb:74 smb:949 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:20.68 aq:16.24 tex:141 mv:114 misc:329 imb:0 pmb:41 smb:983 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:19.00 aq:17.54 tex:200 mv:45 misc:275 imb:0 pmb:17 smb:1007 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:12.37 aq:3.39 tex:167210 mv:5200 misc:238 imb:413 pmb:301 smb:310 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:15.26 aq:8.70 tex:796 mv:124 misc:392 imb:0 pmb:56 smb:968 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:16.71 aq:17.25 tex:122 mv:97 misc:285 imb:0 pmb:36 smb:988 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:13.81 aq:11.56 tex:229 mv:42 misc:233 imb:0 pmb:14 smb:1010 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:9.91 aq:6.24 tex:213740 mv:4425 misc:331 imb:130 pmb:304 smb:590 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:11.14 aq:6.36 tex:4827 mv:216 misc:581 imb:0 pmb:120 smb:904 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:11.75 aq:10.15 tex:360 mv:107 misc:333 imb:0 pmb:40 smb:984 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:10.52 aq:8.77 tex:436 mv:105 misc:315 imb:0 pmb:29 smb:995 d:- ref:0 ;
